uwind_sbgl,vwind_sbgl,uwind_sbrj,vwind_sbrj,uwind_niteroi,vwind_niteroi
-0.53999996,-0.38,-1.04,-0.65999997,-0.81,-0.48999998
-0.47,-0.35999998,-0.85999995,-0.53,-0.83,-0.45999998
-0.14999999,-0.099999994,-0.53,-0.07,-0.38,-0.089999996
-0.42999998,-0.29999998,-0.89,-0.089999996,-0.55,-0.17999999
-0.41,-0.45,-1.01,-0.28,-0.61,-0.34
-0.32999998,-0.44,-0.90999997,-0.31,-0.47,-0.35
-0.52,-0.59,-1.1899999,-0.51,-0.51,-0.47
-0.69,-0.72999996,-1.41,-0.77,-0.69,-0.61
-0.90999997,-0.82,-1.64,-0.88,-0.93,-0.74
-1.0799999,-0.59999996,-1.75,-0.42999998,-0.84999996,-0.53999996
-1.09,-0.55,-1.8399999,-0.37,-1.0,-0.45999998
-1.02,-0.39,-1.77,-0.16,-0.95,-0.29
-1.01,-0.31,-1.76,-0.089999996,-0.89,-0.19
-0.91999996,-0.48,-1.54,-0.089999996,-0.90999997,-0.42999998
-1.18,-0.58,-1.76,-0.03,-1.06,-0.66999996
-1.26,-1.2099999,-1.86,-0.72999996,-1.1899999,-0.87
-1.65,0.35999998,-2.36,0.68,-1.55,0.56
-2.23,0.06,-3.01,0.69,-2.11,0.17999999
-2.58,-0.19,-3.3799999,-0.03,-2.3799999,-0.17999999
-2.27,-0.14999999,-3.03,-0.26,-2.18,-0.14999999
-1.87,0.01,-2.72,-0.17999999,-2.01,-0.06
-2.7,-1.26,-3.6999998,-1.9399999,-2.82,-1.24
-1.66,-0.96999997,-2.6399999,-1.56,-1.9599999,-1.0799999
-1.13,-0.61,-1.9499999,-1.01,-1.43,-0.75
-0.78999996,-0.59999996,-1.51,-0.90999997,-1.09,-0.77
-0.65,-0.71999997,-1.27,-1.0,-0.98999995,-0.97999996
-0.34,-0.68,-0.81,-0.87,-0.75,-0.91999996
-0.32,-0.74,-0.76,-0.88,-0.74,-0.95
-0.31,-0.87,-0.79999995,-1.04,-0.66999996,-1.05
-0.28,-0.90999997,-0.7,-1.11,-0.65,-1.09
-0.39,-0.82,-0.79999995,-0.90999997,-0.89,-0.98999995
-0.38,-0.78,-0.83,-0.78,-0.91999996,-0.91999996
-0.24,-0.61,-0.63,-0.58,-0.81,-0.77
-0.58,-0.93,-0.98999995,-0.78999996,-0.76,-0.83
-0.13,-1.09,-0.39,-0.97999996,-0.53,-1.02
-0.12,-1.1999999,-0.38,-1.1999999,-0.35999998,-1.13
