ano,mes,dia,hora,angulo,intensidade,uwind,vwind
2022,01,01,0,66.0,1.4,-1.279,-0.5694
2022,01,01,1,74.0,0.7,-0.6729,-0.1929
2022,01,01,2,39.0,0.3,-0.1888,-0.2331
2022,01,01,3,75.0,2.4,-2.3182,-0.6212
2022,01,01,4,53.0,1.3,-1.0382,-0.7824
2022,01,01,5,220.0,1.7,1.0927,1.3023
2022,01,01,6,131.0,1.4,-1.0566,0.9185
2022,01,01,7,196.0,0.8,0.2205,0.769
2022,01,01,8,135.0,1.4,-0.9899,0.9899
2022,01,01,9,53.0,0.4,-0.3195,-0.2407
2022,01,01,10,56.0,0.2,-0.1658,-0.1118
2022,01,01,11,97.0,0.5,-0.4963,0.0609
2022,01,01,12,251.0,0.9,0.851,0.293
2022,01,01,13,292.0,0.5,0.4636,-0.1873
2022,01,01,14,206.0,0.7,0.3069,0.6292
2022,01,01,15,267.0,1.0,0.9986,0.0523
2022,01,01,16,269.0,0.6,0.5999,0.0105
2022,01,01,17,69.0,1.9,-1.7738,-0.6809
2022,01,01,18,58.0,3.0,-2.5441,-1.5898
2022,01,01,19,76.0,2.8,-2.7168,-0.6774
2022,01,01,20,49.0,3.5,-2.6415,-2.2962
2022,01,01,21,41.0,3.0,-1.9682,-2.2641
2022,01,01,22,59.0,1.6,-1.3715,-0.8241
2022,01,01,23,84.0,1.2,-1.1934,-0.1254
2022,01,02,0,145.0,0.8,-0.4589,0.6553
2022,01,02,1,296.0,0.6,0.5393,-0.263
2022,01,02,2,49.0,0.4,-0.3019,-0.2624
2022,01,02,3,350.0,0.5,0.0868,-0.4924
2022,01,02,4,18.0,0.8,-0.2472,-0.7608
2022,01,02,5,291.0,0.4,0.3734,-0.1433
2022,01,02,6,191.0,0.4,0.0763,0.3927
2022,01,02,7,233.0,0.3,0.2396,0.1805
2022,01,02,8,248.0,0.3,0.2782,0.1124
2022,01,02,9,44.0,0.3,-0.2084,-0.2158
2022,01,02,10,130.0,1.3,-0.9959,0.8356
2022,01,02,11,115.0,1.3,-1.1782,0.5494
2022,01,02,12,18.0,1.1,-0.3399,-1.0462
2022,01,02,13,356.0,0.6,0.0419,-0.5985
2022,01,02,14,291.0,1.1,1.0269,-0.3942
2022,01,02,15,290.0,1.1,1.0337,-0.3762
2022,01,02,16,6.0,1.7,-0.1777,-1.6907
2022,01,02,17,330.0,1.1,0.55,-0.9526
2022,01,02,18,200.0,2.1,0.7182,1.9734
2022,01,02,19,201.0,2.5,0.8959,2.334
2022,01,02,20,122.0,1.5,-1.2721,0.7949
2022,01,02,21,106.0,0.9,-0.8651,0.2481
2022,01,02,22,17.0,1.0,-0.2924,-0.9563
2022,01,02,23,303.0,0.3,0.2516,-0.1634
2022,01,03,0,64.0,0.5,-0.4494,-0.2192
2022,01,03,1,20.0,0.9,-0.3078,-0.8457
2022,01,03,2,266.0,0.8,0.7981,0.0558
2022,01,03,3,255.0,0.3,0.2898,0.0776
2022,01,03,4,210.0,0.6,0.3,0.5196
2022,01,03,5,217.0,0.5,0.3009,0.3993
2022,01,03,6,90.0,0.5,-0.5,-0.0
2022,01,03,7,51.0,0.6,-0.4663,-0.3776
2022,01,03,8,50.0,0.5,-0.383,-0.3214
2022,01,03,9,93.0,0.5,-0.4993,0.0262
2022,01,03,10,337.0,0.6,0.2344,-0.5523
2022,01,03,11,219.0,0.5,0.3147,0.3886
2022,01,03,12,321.0,1.0,0.6293,-0.7771
2022,01,03,13,269.0,1.1,1.0998,0.0192
2022,01,03,14,335.0,1.4,0.5917,-1.2688
2022,01,03,15,311.0,1.1,0.8302,-0.7217
2022,01,03,16,293.0,1.0,0.9205,-0.3907
2022,01,03,17,286.0,1.2,1.1535,-0.3308
2022,01,03,18,294.0,1.7,1.553,-0.6915
2022,01,03,19,310.0,1.3,0.9959,-0.8356
2022,01,03,20,338.0,1.3,0.487,-1.2053
2022,01,03,21,69.0,1.5,-1.4004,-0.5376
2022,01,03,22,46.0,0.9,-0.6474,-0.6252
2022,01,03,23,341.0,0.7,0.2279,-0.6619
2022,01,04,0,150.0,0.5,-0.25,0.433
2022,01,04,1,98.0,0.6,-0.5942,0.0835
2022,01,04,2,264.0,0.9,0.8951,0.0941
2022,01,04,3,143.0,0.3,-0.1805,0.2396
2022,01,04,4,135.0,0.6,-0.4243,0.4243
2022,01,04,5,356.0,0.4,0.0279,-0.399
2022,01,04,6,119.0,0.7,-0.6122,0.3394
2022,01,04,7,104.0,0.9,-0.8733,0.2177
2022,01,04,8,118.0,0.8,-0.7064,0.3756
2022,01,04,9,141.0,0.9,-0.5664,0.6994
2022,01,04,10,137.0,1.0,-0.682,0.7314
2022,01,04,11,101.0,0.9,-0.8835,0.1717
2022,01,04,12,155.0,0.9,-0.3804,0.8157
2022,01,04,13,121.0,1.2,-1.0286,0.618
2022,01,04,14,37.0,1.7,-1.0231,-1.3577
2022,01,04,15,278.0,0.9,0.8912,-0.1253
2022,01,04,16,317.0,1.7,1.1594,-1.2433
2022,01,04,17,303.0,1.6,1.3419,-0.8714
2022,01,04,18,58.0,3.0,-2.5441,-1.5898
2022,01,04,19,40.0,2.9,-1.8641,-2.2215
2022,01,04,20,78.0,2.2,-2.1519,-0.4574
2022,01,04,21,70.0,1.8,-1.6914,-0.6156
2022,01,04,22,72.0,1.5,-1.4266,-0.4635
2022,01,04,23,70.0,1.0,-0.9397,-0.342
2022,01,05,0,84.0,1.6,-1.5912,-0.1672
