ano,mes,dia,hora,angulo,intensidade,uwind,vwind
2022,01,01,00,100,2.57222,-2.5331,0.4467
2022,01,01,01,130,1.543332,-1.1823,0.992
2022,01,01,02,110,1.543332,-1.4503,0.5279
2022,01,01,03,150,2.57222,-1.2861,2.2276
2022,01,01,04,160,1.543332,-0.5279,1.4503
2022,01,01,05,180,1.543332,0.0,1.5433
2022,01,01,06,150,1.543332,-0.7717,1.3366
2022,01,01,07,310,1.028888,0.7882,-0.6614
2022,01,01,08,180,1.028888,0.0,1.0289
2022,01,01,09,nan,,,
2022,01,01,10,nan,,,
2022,01,01,11,090,0.514444,-0.5144,-0.0
2022,01,01,12,150,2.057776,-1.0289,1.7821
2022,01,01,13,160,2.057776,-0.7038,1.9337
2022,01,01,14,130,2.057776,-1.5763,1.3227
2022,01,01,15,120,3.086664,-2.6731,1.5433
2022,01,01,16,110,1.543332,-1.4503,0.5279
2022,01,01,17,080,3.086664,-3.0398,-0.536
2022,01,01,18,060,5.6588840000000005,-4.9007,-2.8294
2022,01,01,19,070,6.173328,-5.801,-2.1114
2022,01,01,20,070,7.71666,-7.2513,-2.6393
2022,01,01,21,070,6.687772,-6.2844,-2.2874
2022,01,01,22,060,6.173328,-5.3463,-3.0867
2022,01,01,23,090,2.057776,-2.0578,-0.0
2022,01,02,00,140,1.028888,-0.6614,0.7882
2022,01,02,01,100,1.028888,-1.0133,0.1787
2022,01,02,02,040,1.028888,-0.6614,-0.7882
2022,01,02,03,000,0.0,-0.0,-0.0
2022,01,02,04,130,1.028888,-0.7882,0.6614
2022,01,02,05,090,1.028888,-1.0289,-0.0
2022,01,02,06,200,2.057776,0.7038,1.9337
2022,01,02,07,250,2.057776,1.9337,0.7038
2022,01,02,08,260,2.057776,2.0265,0.3573
2022,01,02,09,320,3.086664,1.9841,-2.3645
2022,01,02,10,330,3.086664,1.5433,-2.6731
2022,01,02,11,010,3.086664,-0.536,-3.0398
2022,01,02,12,360,2.057776,-0.0,-2.0578
2022,01,02,13,040,2.57222,-1.6534,-1.9704
2022,01,02,14,030,2.57222,-1.2861,-2.2276
2022,01,02,15,040,3.086664,-1.9841,-2.3645
2022,01,02,16,060,3.601108,-3.1187,-1.8006
2022,01,02,17,080,2.57222,-2.5331,-0.4467
2022,01,02,18,140,2.57222,-1.6534,1.9704
2022,01,02,19,140,4.629996,-2.9761,3.5468
2022,01,02,20,150,3.601108,-1.8006,3.1187
2022,01,02,21,nan,,,
2022,01,02,22,270,1.028888,1.0289,-0.0
2022,01,02,23,260,2.057776,2.0265,0.3573
2022,01,03,00,280,2.057776,2.0265,-0.3573
