ano,mes,dia,hora,angulo,intensidade,uwind,vwind
2022,01,01,00,020,2.057776,-0.7038,-1.9337
2022,01,01,01,040,2.057776,-1.3227,-1.5763
2022,01,01,02,320,0.514444,0.3307,-0.3941
2022,01,01,09,170,2.057776,-0.3573,2.0265
2022,01,01,10,nan,,,
2022,01,01,11,nan,,,
2022,01,01,12,070,0.514444,-0.4834,-0.176
2022,01,01,13,nan,,,
2022,01,01,14,nan,,,
2022,01,01,15,120,1.543332,-1.3366,0.7717
2022,01,01,16,140,1.543332,-0.992,1.1823
2022,01,01,17,150,4.629996,-2.315,4.0097
2022,01,01,18,150,2.57222,-1.2861,2.2276
2022,01,01,19,060,3.086664,-2.6731,-1.5433
2022,01,01,20,060,5.14444,-4.4552,-2.5722
2022,01,01,21,020,6.173328,-2.1114,-5.801
2022,01,01,22,340,2.057776,0.7038,-1.9337
2022,01,01,23,300,2.057776,1.7821,-1.0289
2022,01,02,00,310,2.057776,1.5763,-1.3227
2022,01,02,01,170,1.543332,-0.268,1.5199
2022,01,02,02,nan,,,
2022,01,02,09,280,3.601108,3.5464,-0.6253
2022,01,02,10,310,3.601108,2.7586,-2.3147
2022,01,02,11,310,5.14444,3.9409,-3.3068
2022,01,02,12,320,2.57222,1.6534,-1.9704
2022,01,02,13,330,3.601108,1.8006,-3.1187
2022,01,02,14,010,2.057776,-0.3573,-2.0265
2022,01,02,15,020,1.543332,-0.5279,-1.4503
2022,01,02,16,310,2.057776,1.5763,-1.3227
2022,01,02,17,150,2.057776,-1.0289,1.7821
2022,01,02,18,190,4.629996,0.804,4.5597
2022,01,02,19,160,5.6588840000000005,-1.9355,5.3176
2022,01,02,20,180,3.601108,0.0,3.6011
2022,01,02,21,190,4.115552,0.7147,4.053
2022,01,02,22,190,2.57222,0.4467,2.5331
2022,01,02,23,320,1.543332,0.992,-1.1823
2022,01,03,00,120,2.57222,-2.2276,1.2861
2022,01,03,01,090,1.028888,-1.0289,-0.0
2022,01,03,02,310,3.086664,2.3645,-1.9841
2022,01,03,09,300,2.057776,1.7821,-1.0289
2022,01,03,10,nan,,,
2022,01,03,11,350,1.543332,0.268,-1.5199
2022,01,03,12,340,2.057776,0.7038,-1.9337
2022,01,03,13,350,2.57222,0.4467,-2.5331
2022,01,03,14,030,1.543332,-0.7717,-1.3366
2022,01,03,15,020,2.057776,-0.7038,-1.9337
2022,01,03,16,050,1.543332,-1.1823,-0.992
2022,01,03,17,330,4.115552,2.0578,-3.5642
2022,01,03,18,330,5.14444,2.5722,-4.4552
2022,01,03,19,360,3.086664,-0.0,-3.0867
2022,01,03,20,040,2.057776,-1.3227,-1.5763
2022,01,03,21,360,3.086664,-0.0,-3.0867
2022,01,03,22,360,1.028888,-0.0,-1.0289
2022,01,03,23,340,2.57222,0.8798,-2.4171
2022,01,04,00,100,2.057776,-2.0265,0.3573
2022,01,04,01,310,2.57222,1.9704,-1.6534
2022,01,04,02,310,3.086664,2.3645,-1.9841
2022,01,04,09,050,0.514444,-0.3941,-0.3307
2022,01,04,10,170,0.514444,-0.0893,0.5066
2022,01,04,11,140,0.514444,-0.3307,0.3941
